,ccg,month,111_111_offered,111_111_answered,amb_sys_made,amb_sys_answered,gp_appt_available,ae_attendances_attendances,population,People,Places,Lives,year
490,16C,Nov,630.1062999783799,556.6558421603314,649.2122082829559,450.3096191277041,5147.905037046705,642.5259979474524,67.4284,95.92,98.04,94.78,2018
491,16C,Dec,755.23527935831,643.1217384576561,708.7199091176944,487.49692982083167,4150.461823208026,667.0186449626567,67.4284,95.92,98.04,94.78,2018
492,18C,Jan,223.1039445835749,209.21838981656097,888.0684932591575,673.1956159668621,5383.988553414847,250.4068026586276,78.4164,105.07142857142858,99.35714285714286,105.27142857142856,2018
493,18C,Feb,221.0576964403459,197.8906452285833,820.4093160264267,625.3194894503594,4713.809866303478,232.57889931187864,78.4164,105.07142857142858,99.35714285714286,105.27142857142856,2018
494,18C,Mar,243.8159173366068,200.4757107619863,903.324801883547,695.6489606089855,4857.708336521442,260.4302161282589,78.4164,105.07142857142858,99.35714285714286,105.27142857142856,2018
495,18C,Apr,219.89829559689755,202.17602556132928,782.7832469190439,592.9636215344468,4647.42069261022,262.1135374743039,78.4164,105.07142857142858,99.35714285714286,105.27142857142856,2018
496,18C,May,225.24244161850683,208.39653605411647,856.3549036186663,655.3086059130073,4780.211792431175,292.93617151514223,78.4164,105.07142857142858,99.35714285714286,105.27142857142856,2018
497,18C,Jun,207.5243647143796,193.70170691898136,835.1069305345252,645.3005026487381,4640.802179135997,288.24327564131994,78.4164,105.07142857142858,99.35714285714286,105.27142857142856,2018
498,18C,Jul,221.55038938466845,206.89120186678213,909.0965080297982,700.065723544074,4808.649721231784,307.5504613830781,78.4164,105.07142857142858,99.35714285714286,105.27142857142856,2018
499,18C,Aug,209.7823659953813,194.83804553950404,825.9170721964774,636.0050643202101,4643.263398982866,277.862794007376,78.4164,105.07142857142858,99.35714285714286,105.27142857142856,2018
500,18C,Sep,208.90180839276223,192.6324584015154,837.0733578572191,642.9029570315834,4550.094112966165,272.7618202314822,78.4164,105.07142857142858,99.35714285714286,105.27142857142856,2018
501,18C,Oct,221.56716191043265,202.91401669495283,853.9837529991318,646.5894583658505,5714.990741732597,280.89787340403285,78.4164,105.07142857142858,99.35714285714286,105.27142857142856,2018
502,18C,Nov,232.4588208285418,213.4199075204861,868.9541158159707,652.8186778041826,5521.064471207554,266.23257379833814,78.4164,105.07142857142858,99.35714285714286,105.27142857142856,2018
503,18C,Dec,274.67736474268327,249.09506982087996,927.1506864019132,697.8529429102597,4319.530098295765,259.5758030207967,78.4164,105.07142857142858,99.35714285714286,105.27142857142856,2018
504,26A,Jan,329.8561337624304,290.3939467177304,931.881896579987,599.4125939685727,5687.49626953662,269.65990894244663,102.1991,103.22,100.01,104.81,2018
505,26A,Feb,302.0770241616609,265.82425872634883,839.299702634852,529.0734944625071,4889.964784425694,243.15282619905653,102.1991,103.22,100.01,104.81,2018
506,26A,Mar,343.3102639847122,309.59176744217905,927.1734406814776,594.1460988524622,5213.587986586966,276.362511998638,102.1991,103.22,100.01,104.81,2018
507,26A,Apr,309.4156406465419,276.7049807679324,822.793948901744,525.4462395480999,4982.72489679459,224.70843676705567,102.1991,103.22,100.01,104.81,2018
508,26A,May,306.94008068564204,282.87920343721225,899.5156219591225,583.3253696486656,5204.507671789674,303.15335457944343,102.1991,103.22,100.01,104.81,2018
509,26A,Jun,280.66783366976813,260.70679683089185,882.9139552354893,570.5689419088152,4894.651714154038,289.93406008467787,102.1991,103.22,100.01,104.81,2018
510,26A,Jul,300.22769280747093,277.223576332864,970.95336117484,627.8551553406795,4984.721000478477,311.8324916755627,102.1991,103.22,100.01,104.81,2018
511,26A,Aug,301.90089736602374,278.9261353573564,895.836050868065,578.6081943873812,4688.211540023347,306.35299136685154,102.1991,103.22,100.01,104.81,2018
512,26A,Sep,270.873226867947,249.80650514534864,883.5940655319405,569.6708475429883,4801.940525895042,284.08273654073275,102.1991,103.22,100.01,104.81,2018
513,26A,Oct,274.9339279895811,250.54036679383677,909.2987469926918,579.5760436554081,5849.826466182188,285.3449785761323,102.1991,103.22,100.01,104.81,2018
514,26A,Nov,277.21379151088416,253.48559820976897,921.8284713003918,582.1569750368133,5718.142331977483,277.21379151088416,102.1991,103.22,100.01,104.81,2018
515,26A,Dec,341.21631208102616,311.6074407700264,950.0704873286736,584.3542544561176,4508.953601352654,283.5934954417407,102.1991,103.22,100.01,104.81,2018
516,27D,Jan,406.65583028916126,308.9450949002496,1242.2472052437954,938.8647470916992,4713.014978677152,239.36214459608595,72.1292,101.55,101.35,105.2,2018
517,27D,Feb,349.9336025343956,256.8729814607942,1047.02573938276,821.1951877150312,4119.330312827537,228.63140032053596,72.1292,101.55,101.35,105.2,2018
518,27D,Mar,413.2476590049505,300.690725313664,1214.7048614945118,938.8647470916992,4414.231684255475,256.7476140037599,72.1292,101.55,101.35,105.2,2018
519,27D,Apr,349.60859454461587,278.1401709458691,1059.892722362758,814.7116949958353,4124.238172612479,246.9873504766447,72.1292,101.55,101.35,105.2,2018
520,27D,May,361.1005437216998,284.41949197917785,1177.445612204633,911.7057460995916,4275.064744929931,270.76412881329617,72.1292,101.55,101.35,105.2,2018
521,27D,Jun,328.5518268990779,254.36875323185023,1124.4276421795369,880.8549876851138,4081.2597394675113,265.93945309250626,72.1292,101.55,101.35,105.2,2018
522,27D,Jul,339.7666859310291,248.93528632578884,1191.479290532559,942.289831291686,4208.767045801146,277.57135806303137,72.1292,101.55,101.35,105.2,2018
523,27D,Aug,300.16154563799694,239.4204690865317,1096.660292898867,855.4043620238997,4056.443160328965,253.05978715970787,72.1292,101.55,101.35,105.2,2018
524,27D,Sep,302.3574329535601,244.11850124648896,1076.6264670673154,837.8872647285912,4184.033650726751,253.2400192987029,72.1292,101.55,101.35,105.2,2018
