,111_111_offered,111_111_answered,amb_sys_made,amb_sys_answered,gp_appt_attended,gp_appt_available,ae_attendances_attendances,population,People,Places,Lives,year,month,ccg
960,311.481539278454,305.0509472555301,432.9013546687676,296.8790894468208,4223.241332309158,4675.185251876452,371.6890002210942,43.8727,95.9,98.3,98.8,2018.0,Jan,X2C4Y
961,270.1770297996148,262.6949207748968,409.7382842754976,294.6717308158089,3650.379393107786,4071.506882412069,347.1862912471765,43.8727,95.9,98.3,98.8,2018.0,Feb,X2C4Y
962,324.0180517400825,300.1033712431046,466.1856257302782,336.24246876383484,3707.066125403725,4254.26290153102,378.093894380788,43.8727,95.9,98.3,98.8,2018.0,Mar,X2C4Y
963,323.0189011228399,288.4612766296156,421.9816721806273,299.69684306904475,3726.007289271005,4107.109888381613,370.3897868150353,43.8727,95.9,98.3,98.8,2018.0,Apr,X2C4Y
964,327.1956439546674,293.8382569953634,446.54652176883246,329.1909870920978,4018.603824246057,4418.123343217992,409.1838432556008,43.8727,95.9,98.3,98.8,2018.0,May,X2C4Y
965,282.55644310758873,255.9166159585509,432.2057882834328,321.59653778282893,3660.6755093036504,4072.2818518121744,385.6156562053395,43.8727,95.9,98.3,98.8,2018.0,Jun,X2C4Y
966,302.75729961217445,275.6943520759605,472.36764942034665,342.3464186759575,3770.3738445796284,4240.97445564098,401.5937017780989,43.8727,95.9,98.3,98.8,2018.0,Jul,X2C4Y
967,288.15964625459907,271.3165223274553,445.1163521091898,316.546583872974,3581.106428389693,3951.0219339133446,365.8767297203044,43.8727,95.9,98.3,98.8,2018.0,Aug,X2C4Y
968,287.2610390956953,266.2935387212757,441.02457638321454,317.1818205208054,3779.7356334796423,4213.941699507895,371.43827482694246,43.8727,95.9,98.3,98.8,2018.0,Sep,X2C4Y
969,308.51760191283915,274.766419741708,459.8793937571143,323.94584873737847,4663.752263671022,5123.45946340207,380.92025336940736,43.8727,95.9,98.3,98.8,2018.0,Oct,X2C4Y
970,324.6778681854313,283.019361947024,460.5714113343608,319.4637041216745,4304.316346899295,4795.328302110424,364.30399770244367,43.8727,95.9,98.3,98.8,2018.0,Nov,X2C4Y
971,377.9721850711815,342.9935348461632,502.7880323544833,345.8455434511627,3530.9429326209693,3942.907548429889,388.0773237115564,43.8727,95.9,98.3,98.8,2018.0,Dec,X2C4Y
972,570.5364198839652,466.2428028978404,194.23500690388968,137.47193581834895,4237.946555827351,4629.26502661602,409.3497470980915,15.0849,93.0,101.9,96.6,2019.0,Jan,00N
973,505.5635561601137,407.3773222787313,175.6222011550528,124.79653287988268,3623.623623623624,3981.067159875107,363.5423502973172,15.0849,93.0,101.9,96.6,2019.0,Feb,00N
974,507.46350852362696,419.2341264487137,187.7407922653356,133.4199036282782,3748.2515628211,4153.027199384816,402.5880184820583,15.0849,93.0,101.9,96.6,2019.0,Mar,00N
975,523.5442647597387,431.4323713332985,199.6401206868,132.90636733078256,3581.5948398729856,3932.939562078635,511.18757541748926,15.0849,93.0,101.9,96.6,2019.0,Apr,00N
976,540.4345659159561,433.519565379013,204.2965677888108,134.64027359367506,3689.0532917022974,4036.553109400792,617.634738395124,15.0849,93.0,101.9,96.6,2019.0,May,00N
977,508.6310154832351,397.1781577070605,200.0339280160593,131.58934868018287,3478.5779156640087,3804.068969631884,655.4974159986562,15.0849,93.0,101.9,96.6,2019.0,Jun,00N
978,534.7126803922163,413.3360134593728,215.52368296692424,146.03760585916066,3993.993993993994,4384.715841669485,658.0673841074326,15.0849,93.0,101.9,96.6,2019.0,Jul,00N
979,535.6323674783226,426.9495851770674,205.0495620227791,136.88194608330485,3391.4046496827955,3743.478577915664,766.824182575462,15.0849,93.0,101.9,96.6,2019.0,Aug,00N
980,504.5832908827069,383.0799604589624,202.11692355983365,136.17655493309314,3994.6569085641936,4400.360625526188,613.3161500283912,15.0849,93.0,101.9,96.6,2019.0,Sep,00N
981,549.62592966872,413.528762249874,217.85046400024007,145.96403745699138,4531.617710425658,4979.74795988041,524.8448276423615,15.0849,93.0,101.9,96.6,2019.0,Oct,00N
982,731.3439822450829,447.9426820168133,222.82426499396163,136.93099168475104,3985.044647296303,4397.974133073471,613.3161500283912,15.0849,93.0,101.9,96.6,2019.0,Nov,00N
983,697.2935316259462,495.6122114619445,237.73268531592004,139.02408485235256,3410.894338046656,3753.621170839714,704.6808895103188,15.0849,93.0,101.9,96.6,2019.0,Dec,00N
984,570.5364198839653,466.2428028978404,194.23500690388963,137.47193581834895,4184.064686763572,4683.412486217309,546.1926363808531,27.7522,89.2,99.6,95.2,2019.0,Jan,00P
985,505.5635561601137,407.3773222787314,175.62220115505278,124.7965328798827,3722.515692449608,4132.248974856047,678.8185203907199,27.7522,89.2,99.6,95.2,2019.0,Feb,00P
986,507.4635085236269,419.2341264487137,187.7407922653356,133.4199036282782,3922.319671953936,4340.232486073176,717.6585476085116,27.7522,89.2,99.6,95.2,2019.0,Mar,00P
987,523.5442647597387,431.4323713332985,199.6401206868,132.9063673307826,3544.331620556208,4018.2760285671047,633.5327906102709,27.7522,89.2,99.6,95.2,2019.0,Apr,00P
988,540.4345659159561,433.51956537901305,204.2965677888108,134.64027359367506,3805.319938599463,4204.891864428766,581.8814472705502,27.7522,89.2,99.6,95.2,2019.0,May,00P
