icb_code,year,fx_asthma__qof_prevalence,fx_chd__qof_prevalence,fx_copd__qof_prevalence,fx_depression__qof_prevalence,fx_diabetes__qof_prevalence,fx_heart_failure__qof_prevalence,fx_hypertension__qof_prevalence,fx_obesity__qof_prevalence__new_definition,fx_deprivation_score__imd_2019
QVV,2023,7.66948,4.19971,2.11924,12.96464,7.20282,1.44856,16.46641,,16.986336948387
QVV,2024,7.65602,4.19589,2.14364,,7.39034,1.55789,16.79101,10.95751,16.986336948387
QWE,2022,4.90229,1.91011,1.06222,9.3627,5.92865,0.55857,10.63721,,15.9368049725767
QWE,2023,4.91928,1.9015,1.03657,9.88786,6.06407,0.58615,10.92523,,15.9368049725767
QWE,2024,4.96878,1.89306,1.02577,,6.18976,0.62546,11.10193,9.76123,15.9368049725767
QWO,2022,7.04888,3.09102,2.12458,13.34681,7.85076,0.95045,13.77197,,
QWO,2023,7.14794,3.04983,2.09197,13.83183,8.09259,0.9836,14.27839,,
QWO,2024,7.13028,2.99801,2.08061,,8.30183,1.04129,14.69721,13.88019,
QWU,2022,6.19177,2.53268,1.59975,13.35236,6.98885,0.8679,13.91225,,19.4570387373505
QWU,2023,6.15997,2.49011,1.59219,14.03781,7.18909,0.94494,14.36805,,19.4570387373505
QWU,2024,6.1166,2.46749,1.58728,,7.38968,0.99479,14.61966,12.48651,19.4570387373505
QYG,2022,6.98045,3.63256,2.53397,16.00486,7.21793,1.20641,15.36333,,28.1159129533068
QYG,2023,7.02551,3.63016,2.53476,16.78166,7.37636,1.27702,15.90176,,28.1159129533068
QYG,2024,7.03062,3.66547,2.52973,,7.55684,1.38629,16.33598,14.04595,28.1159129533068
