,ccg,month,year,ae_attendances_attendances,population,gp_appt_available,amb_sys_made,amb_sys_answered,111_111_offered,111_111_answered,People,Lives,Places
808,02H,Dec,2019,371.90158348244006,32.6088,3553.2432962881185,305.3554585618158,256.0910838370561,552.3624585947593,395.1439100277301,92.7,97.4,102.9
809,02P,Jan,2019,358.7883302698808,24.5199,5169.678506029796,202.37141890232726,148.96160074365923,498.14625255716567,435.7563804538437,94.6,98.4,101.4
810,02P,Feb,2019,318.8689786961838,24.5199,4629.545797495096,186.2857678965732,136.4252757967555,435.70819596991004,380.59719247081307,94.6,98.4,101.4
811,02P,Mar,2019,348.66679082421723,24.5199,4836.47975725839,199.50658863095578,145.37398121418067,463.25767465896683,419.8434546347602,94.6,98.4,101.4
812,02P,Apr,2019,353.28221281143976,24.5199,4662.580189968148,223.2892272329761,145.8239294940619,428.86901078157945,396.98594006874123,94.6,98.4,101.4
813,02P,May,2019,349.2335970331744,24.5199,4676.324128564962,227.98496406875788,148.3776253165793,426.7970779724331,393.64012996559933,94.6,98.4,101.4
814,02P,Jun,2019,340.4481007943384,24.5199,4565.108340572351,222.14042311413036,144.03131640027974,396.5763719553053,362.1515697149677,94.6,98.4,101.4
815,02P,Jul,2019,371.58195612919945,24.5199,5224.613477216465,237.75697910468912,158.9322631584742,409.95660083762704,365.18719220278683,94.6,98.4,101.4
816,02P,Aug,2019,352.9988097069612,24.5199,4497.775276408142,226.49151871425846,149.71789678856598,405.9964385643313,365.6660255118773,94.6,98.4,101.4
817,02P,Sep,2019,340.9744208455129,24.5199,5124.368370180955,221.9417757352466,147.76014310269974,381.332005850801,348.00340061995365,94.6,98.4,101.4
818,02P,Oct,2019,360.164859634491,24.5199,5899.5346636813365,241.08611770742738,159.48273179875443,413.86556709674335,367.957800028971,94.6,98.4,101.4
819,02P,Nov,2019,363.28229378375534,24.5199,5171.554533256661,244.12805528045422,140.18282260214667,472.42176119709535,399.30180682780167,94.6,98.4,101.4
820,02P,Dec,2019,372.5536239159831,24.5199,4609.235763604256,263.46147126386165,141.36274016587774,527.945344339874,483.05848602544563,94.6,98.4,101.4
821,02X,Jan,2019,478.77877461076,31.0542,5327.137714061222,202.37141890232724,148.9616007436592,498.14625255716567,435.7563804538437,90.2,95.1,97.5
822,02X,Feb,2019,428.7805362399147,31.0542,4737.813242653167,186.2857678965732,136.4252757967555,435.70819596991004,380.597192470813,90.2,95.1,97.5
823,02X,Mar,2019,482.59029950898594,31.0542,4845.238325250691,199.5065886309558,145.37398121418067,463.25767465896683,419.8434546347601,90.2,95.1,97.5
824,02X,Apr,2019,484.7683137365436,31.0542,4605.818214605431,223.28922723297603,145.8239294940619,428.8690107815795,396.98594006874123,90.2,95.1,97.5
825,02X,May,2019,499.9183244664666,31.0542,4725.801984916694,227.98496406875788,148.37762531657933,426.7970779724331,393.6401299655993,90.2,95.1,97.5
826,02X,Jun,2019,491.65468225014496,31.0542,4429.738972506134,222.14042311413036,144.03131640027976,396.5763719553053,362.1515697149677,90.2,95.1,97.5
827,02X,Jul,2019,540.6279727491984,31.0542,5056.707305292038,237.75697910468912,158.9322631584742,409.95660083762704,365.1871922027869,90.2,95.1,97.5
828,02X,Aug,2019,505.5235081403282,31.0542,4413.960108455539,226.49151871425846,149.71789678856595,405.9964385643313,365.66602551187736,90.2,95.1,97.5
829,02X,Sep,2019,490.1813196844442,31.0542,5046.402741014098,221.9417757352466,147.76014310269974,381.332005850801,348.00340061995365,90.2,95.1,97.5
830,02X,Oct,2019,490.1492900634507,31.0542,5750.075674143915,241.08611770742738,159.48273179875443,413.86556709674335,367.95780002897095,90.2,95.1,97.5
831,02X,Nov,2019,494.9537332124749,31.0542,5051.26520728275,244.12805528045422,140.18282260214664,472.42176119709535,399.3018068278016,90.2,95.1,97.5
832,02X,Dec,2019,520.6094596282642,31.0542,4567.240502089894,263.46147126386165,141.36274016587777,527.9453443398742,483.0584860254457,90.2,95.1,97.5
833,03F,Jan,2019,747.9094924174809,26.0645,4746.379174739589,202.37141890232726,148.96160074365923,498.14625255716555,435.75638045384363,88.6,91.9,94.8
834,03F,Feb,2019,697.3849023791374,26.0645,4240.979109516776,186.2857678965732,136.4252757967555,435.70819596991,380.597192470813,88.6,91.9,94.8
835,03F,Mar,2019,757.3325774435859,26.0645,4614.015231445069,199.50658863095578,145.37398121418065,463.2576746589668,419.8434546347601,88.6,91.9,94.8
836,03F,Apr,2019,753.2339185094671,26.0645,4186.575610504709,223.28922723297606,145.8239294940619,428.86901078157945,396.9859400687412,88.6,91.9,94.8
837,03F,May,2019,796.32729515324,26.0645,4281.839283316388,227.98496406875788,148.37762531657933,426.79707797243304,393.6401299655993,88.6,91.9,94.8
838,03F,Jun,2019,779.5113019562477,26.0645,4126.302058355234,222.14042311413039,144.03131640027976,396.57637195530526,362.15156971496765,88.6,91.9,94.8
839,03F,Jul,2019,844.5152665468989,26.0645,4641.4088127529785,237.75697910468912,158.9322631584742,409.95660083762704,365.1871922027868,88.6,91.9,94.8
840,03F,Aug,2019,793.2628772585717,26.0645,4025.5519960098986,226.49151871425846,149.71789678856598,405.99643856433124,365.66602551187736,88.6,91.9,94.8
841,03F,Sep,2019,792.4967727849046,26.0645,4544.763950967792,221.94177573524664,147.76014310269974,381.33200585080095,348.0034006199536,88.6,91.9,94.8
842,03F,Oct,2019,794.0289817322388,26.0645,5203.130695006618,241.0861177074274,159.48273179875443,413.8655670967433,367.9578000289709,88.6,91.9,94.8
843,03F,Nov,2019,774.4167072063617,26.0645,4591.686009706689,244.12805528045422,140.18282260214664,472.4217611970953,399.30180682780156,88.6,91.9,94.8
844,03F,Dec,2019,791.4242265217707,26.0645,4172.84045349038,263.46147126386165,141.36274016587777,527.945344339874,483.0584860254456,88.6,91.9,94.8
845,03H,Jan,2019,848.996435940724,15.9821,6221.835678665507,272.53257861913755,216.4167693297014,498.14625255716567,435.75638045384363,96.5,98.1,97.1
846,03H,Feb,2019,772.1503157631464,15.9821,5553.087516659262,237.9109226985501,189.82362705085433,435.70819596991004,380.59719247081307,96.5,98.1,97.1
847,03H,Mar,2019,880.1350590883511,15.9821,5844.350867533052,255.77533806984715,204.25580047393066,463.25767465896683,419.8434546347601,96.5,98.1,97.1
848,03H,Apr,2019,862.0646532858125,15.9821,5614.593826843781,243.7191019675095,195.07223418004276,428.86901078157945,396.98594006874123,96.5,98.1,97.1
849,03H,May,2019,908.147314450072,15.9821,5698.687907096063,250.46688365298266,200.33281076676644,426.7970779724331,393.64012996559933,96.5,98.1,97.1
850,03H,Jun,2019,877.133746013881,15.9821,5365.7529360972585,251.42444025579928,200.2879253010094,396.57637195530526,362.15156971496776,96.5,98.1,97.1
851,03H,Jul,2019,950.0406427812168,15.9821,6048.454208145362,274.4057987233975,223.4099248946463,409.95660083762704,365.18719220278683,96.5,98.1,97.1
852,03H,Aug,2019,893.3908585005939,15.9821,5314.132685942398,264.03725613352407,214.6602514364097,405.9964385643313,365.6660255118773,96.5,98.1,97.1
853,03H,Sep,2019,873.194522603639,15.9821,5729.910337189731,254.07567509984773,206.16792131518005,381.332005850801,348.00340061995365,96.5,98.1,97.1
854,03H,Oct,2019,892.7030575876946,15.9821,6699.995620099987,277.26649907431204,224.38543568376573,413.8655670967433,367.95780002897095,96.5,98.1,97.1
855,03H,Nov,2019,876.1958356781091,15.9821,5679.416347038249,284.54093689133435,228.43111233066583,472.42176119709535,399.3018068278016,96.5,98.1,97.1
856,03H,Dec,2019,914.4000500218846,15.9821,5062.413575187241,316.12534296236294,247.7528091568744,527.945344339874,483.0584860254457,96.5,98.1,97.1
857,03L,Jan,2019,343.23419934579084,26.4671,5272.697046521908,202.37141890232724,148.9616007436592,498.1462525571656,435.7563804538437,94.7,95.8,100.1
858,03L,Feb,2019,297.21397150054514,26.4671,4701.686244431767,186.2857678965732,136.4252757967555,435.70819596991,380.597192470813,94.7,95.8,100.1
859,03L,Mar,2019,323.34473812836035,26.4671,4964.351969048366,199.5065886309558,145.37398121418067,463.25767465896683,419.8434546347601,94.7,95.8,100.1
860,03L,Apr,2019,329.58604353874495,26.4671,4603.564425267597,223.2892272329761,145.8239294940619,428.86901078157945,396.98594006874123,94.7,95.8,100.1
861,03L,May,2019,319.5473173666203,26.4671,4733.763804874731,227.98496406875788,148.37762531657933,426.79707797243304,393.6401299655993,94.7,95.8,100.1
862,03L,Jun,2019,318.26897770425234,26.4671,4559.92534127275,222.14042311413036,144.03131640027976,396.57637195530526,362.15156971496776,94.7,95.8,100.1
863,03L,Jul,2019,336.240929428131,26.4671,5035.005724087641,237.7569791046891,158.9322631584742,409.95660083762704,365.1871922027868,94.7,95.8,100.1
864,03L,Aug,2019,320.3368800992593,26.4671,4466.261887399829,226.49151871425843,149.71789678856595,405.99643856433124,365.66602551187736,94.7,95.8,100.1
865,03L,Sep,2019,320.9384517050795,26.4671,4998.469798353428,221.94177573524664,147.76014310269974,381.332005850801,348.00340061995365,94.7,95.8,100.1
866,03L,Oct,2019,317.216227394067,26.4671,5790.774206467652,241.08611770742738,159.4827317987544,413.86556709674335,367.95780002897095,94.7,95.8,100.1
867,03L,Nov,2019,325.3750422980035,26.4671,5141.553097997136,244.12805528045422,140.18282260214664,472.4217611970953,399.3018068278016,94.7,95.8,100.1
868,03L,Dec,2019,320.6752641275332,26.4671,4595.970091169792,263.46147126386165,141.36274016587777,527.945344339874,483.05848602544563,94.7,95.8,100.1
869,03N,Jan,2019,419.4651184599777,58.2506,5278.726742728831,202.37141890232726,148.9616007436592,498.1462525571656,435.75638045384363,94.2,99.0,99.2
870,03N,Feb,2019,395.150771119466,58.2506,4778.646056864651,186.2857678965732,136.4252757967555,435.70819596991004,380.597192470813,94.2,99.0,99.2
871,03N,Mar,2019,425.7056872724793,58.2506,5028.360222898992,199.5065886309558,145.37398121418065,463.2576746589668,419.8434546347601,94.2,99.0,99.2
872,03N,Apr,2019,409.166474845904,58.2506,4667.7287444249505,223.28922723297603,145.82392949406187,428.86901078157945,396.98594006874123,94.2,99.0,99.2
873,03N,May,2019,431.3835818477881,58.2506,4791.418457492284,227.98496406875788,148.3776253165793,426.79707797243304,393.6401299655993,94.2,99.0,99.2
874,03N,Jun,2019,403.4885802705952,58.2506,4522.459854490769,222.14042311413033,144.03131640027974,396.5763719553053,362.1515697149677,94.2,99.0,99.2
875,03N,Jul,2019,429.3204429780813,58.2506,5136.221772822941,237.7569791046891,158.93226315847417,409.956600837627,365.18719220278683,94.2,99.0,99.2
876,03N,Aug,2019,398.95308490413225,58.2506,4404.795830429214,226.49151871425843,149.71789678856595,405.99643856433124,365.6660255118773,94.2,99.0,99.2
877,03N,Sep,2019,403.9148486321049,58.2506,5012.841069448212,221.9417757352466,147.76014310269974,381.33200585080095,348.0034006199536,94.2,99.0,99.2
878,03N,Oct,2019,438.3743829765467,58.2506,5886.445804850079,241.08611770742738,159.4827317987544,413.86556709674335,367.95780002897095,94.2,99.0,99.2
879,03N,Nov,2019,441.7674791341637,58.2506,5251.3107161127955,244.1280552804542,140.18282260214664,472.4217611970953,399.30180682780156,94.2,99.0,99.2
880,03N,Dec,2019,427.25730410837446,58.2506,4679.625617590205,263.46147126386165,141.36274016587777,527.945344339874,483.05848602544563,94.2,99.0,99.2
881,03Q,Jan,2019,461.0711859950483,36.2955,4304.886280668403,202.37141890232724,148.9616007436592,498.1462525571656,435.75638045384363,103.3021052631579,108.3663157894737,100.18526315789477
882,03Q,Feb,2019,431.341885585329,36.2955,3918.6951550467693,186.28576789657316,136.4252757967555,435.70819596991,380.597192470813,103.3021052631579,108.3663157894737,100.18526315789477
883,03Q,Mar,2019,486.78819482482857,36.2955,4078.163959719525,199.50658863095578,145.37398121418065,463.25767465896683,419.8434546347601,103.3021052631579,108.3663157894737,100.18526315789477
884,03Q,Apr,2019,502.48132161872,36.2955,3785.427945613093,223.28922723297606,145.8239294940619,428.86901078157945,396.9859400687412,103.3021052631579,108.3663157894737,100.18526315789477
885,03Q,May,2019,509.383010889332,36.2955,3952.1703792481167,227.98496406875785,148.37762531657933,426.79707797243304,393.6401299655993,103.3021052631579,108.3663157894737,100.18526315789477
